id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
124	crop leaf disease	-0.7828	0.4875	1	61	149	11	2021.8182	5.6364	0.8354
125	crop management	0.1986	0.6076	3	158	356	22	2022.2727	72.5	1.9201
126	crop monitoring	0.0385	0.6875	3	141	272	19	2022.6842	8.4211	0.4761
127	crop pest	-0.2257	0.521	3	93	209	16	2022.25	28.5	2.3075
128	crop species	-0.4607	0.0111	1	78	121	12	2020.4167	158.25	2.6167
129	crown rot	1.6767	-0.006	4	59	224	11	2021.3636	10.4545	0.4406
130	crr	1.1275	-0.3985	2	19	231	11	2020	31	0.9467
131	cultivar	0.9661	0.4028	4	170	898	41	2021.5854	23.8049	0.897
132	current state	-0.2991	0.5126	3	77	119	11	2021.2727	12.2727	1.9384
133	current trend	0.2633	1.2419	3	71	263	12	2023.0833	19.3333	0.8035
134	data acquisition	-0.0261	0.6702	3	142	278	19	2021.3158	35.8421	1.464
135	data augmentation	-0.659	0.2221	1	364	1157	83	2021.6145	23.1205	0.9133
136	data augmentation technique	-0.7097	0.1421	1	174	356	23	2021.913	28.0435	1.4856
137	data collection	-0.133	0.4735	3	184	358	19	2022.0526	9.9474	0.786
138	date	0.8979	0.2268	2	191	340	15	2021.4	18.2667	1.1993
139	day	0.7335	-0.0345	4	366	1517	81	2021.4074	15.5926	1.2303
140	dcnn	-0.9237	-0.3238	1	216	698	42	2021.7619	19.5476	1.3293
141	dcnn model	-0.9897	-0.5198	1	67	235	16	2022.0625	15.5625	1.7869
142	decision making	0.2914	0.5958	3	208	443	25	2022	8.36	0.79
143	decision tree	0.4466	-0.5087	2	207	463	27	2021.4444	9.7778	0.4604
144	decline	0.6172	0.0083	4	205	616	28	2022.25	15.6429	0.823
145	deep convolution neural network	-0.9191	-0.1161	1	105	159	11	2022.1818	9	0.5306
146	deep convolutional neural network	-0.7087	-0.1322	1	402	1217	97	2021.5361	37.8454	1.3303
147	deep convolutional neural networks	-1.1456	0.0161	1	110	185	14	2021.4286	30	1.4659
148	deep feature	-0.6763	-0.5431	1	183	411	29	2022.3793	12.7241	1.4875
149	deep learning architecture	-0.6556	-0.1126	1	185	356	25	2022.12	12.68	0.9649
150	deep learning technology	-0.7003	0.4434	1	145	249	21	2022	35.1905	1.7538
151	deep transfer learning	-0.8235	-0.2858	1	132	266	20	2022.8	16.85	1.0717
152	defect	-0.4142	0.2583	1	100	270	25	2022.48	5.56	0.8682
153	degree	0.4415	-0.2623	4	221	586	32	2021.6562	8.7812	0.4093
154	densenet	-0.9352	0.0265	1	250	765	49	2022.3673	21.898	1.909
155	densenet121	-1.0296	-0.25	1	151	410	27	2023	5.1852	1.0149
156	densenet201	-0.9513	-0.2723	1	133	329	18	2023	4.2222	1.0795
157	depth	-0.8704	0.2671	1	100	185	12	2020.6667	23	0.6956
158	detection performance	-0.1378	0.1137	1	222	537	33	2021.7879	14.5455	0.601
159	detection speed	-0.6502	0.4473	1	116	221	16	2022.1875	25.875	1.5385
160	detector	-0.4552	0.3182	1	280	939	73	2021.5342	42.8082	1.1035
161	determination	0.6996	0.2602	4	170	427	27	2020.9259	17.8148	0.9724
162	developed model	-0.5157	-0.4482	1	134	205	17	2021.3529	15.1765	0.9724
163	developed system	0.1183	0.0709	3	76	117	10	2019.9	10.6	0.5232
164	diagnosing plant disease	0.0809	0.2809	4	149	240	16	2021.125	10.875	0.5398
165	difference	0.9563	0.0298	2	333	1114	60	2020.8833	22.1833	0.9531
166	differentiation	1.0842	-0.1325	2	117	256	14	2019.9286	17.2143	0.9932
167	difficult task	-0.3786	-0.2306	1	96	127	12	2022.4167	6.25	0.6219
168	digital camera	0.1166	-0.5302	1	142	210	14	2019.5714	22.1429	0.7653
169	digital image processing	-0.1911	0.3081	3	138	239	23	2021.7391	27.2609	1.503
170	dimension	0.2773	-0.7911	6	183	568	27	2021.2222	7.1111	0.6511
171	dimensionality	-0.3108	-0.1351	1	133	218	17	2021.9412	3.3529	0.4808
172	dimensionality reduction	-0.1082	-0.2946	1	96	157	13	2020.3077	5.7692	0.5076
173	direction	-0.1481	0.5756	3	259	664	43	2021.7209	30.3256	1.5137
174	disadvantage	0.0204	0.6932	3	108	186	13	2021.7692	47.6923	2.5949
175	discrimination	1.1378	0.1578	2	165	457	21	2018.7143	37.7619	1.33
176	disease attack	-0.4199	0.917	3	84	223	13	2022.1538	13.5385	1.1822
177	disease class	-0.5445	0.2314	1	181	329	22	2021.8636	19.5	1.1049
178	disease development	1.299	-0.166	2	154	365	17	2018.9412	31.7647	1.3912
179	disease image	-0.4814	-0.0729	1	267	650	40	2021.725	19.025	0.8067
180	disease incidence	1.2786	0.1746	4	138	398	16	2020.25	15.125	0.5068
181	disease severity	0.8979	-0.0293	4	274	1103	52	2021.5577	12.6731	1.0006
182	disease stage	0.6806	-0.307	2	110	267	15	2021.2	21.6667	0.6939
183	diseased area	0.289	-0.1977	4	121	307	18	2020.6111	24.7778	1.1114
184	diseased region	-0.4185	-0.4922	1	118	162	13	2021.5385	9.5385	0.2521
185	distinct class	-0.6989	-0.2687	1	100	125	11	2021.9091	109.8182	2.6354
186	distribution	0.6869	0.3881	4	284	864	51	2019.6863	25.0784	0.9074
187	diversity	-0.4723	0.4626	3	223	420	28	2021.8214	34.1429	1.5701
188	dl model	-0.5312	0.3866	3	196	475	32	2022.5312	18.0312	1.0608
189	dnn	-0.7775	-0.8086	1	84	233	19	2021.4737	8.3684	0.4569
190	dnn model	-0.56	-0.9203	1	31	70	12	2021.5833	6.0833	0.3017
191	domain expert	0.1786	0.0896	4	46	87	10	2022.7	6.3	1.6468
192	downy mildew	0.5911	-0.1622	2	182	424	26	2021.6154	14.8846	0.8579
193	drone	0.2364	0.4237	3	260	864	61	2022.2951	7.4918	1.0872
194	drought	1.6142	0.3109	2	92	294	11	2022.0909	10.5455	0.5265
195	e nose	1.3072	-0.4237	2	49	209	13	2018.8462	7.7692	1.5338
196	earlier stage	-0.5128	-0.3729	1	95	138	13	2022	10.4615	0.7901
197	early blight	-0.2704	-0.2605	1	205	473	29	2022	14.5517	1.7041
198	early identification	0.0167	-0.5408	6	171	414	26	2021.3077	35.3077	1.5578
199	economic growth	-0.2089	0.1346	3	127	207	13	2022.0769	5.3077	1.2036
200	edge	-0.0437	-0.4423	1	201	400	26	2021.5	16.6923	0.6669
201	edge device	-0.6409	-0.0975	1	101	154	11	2021.8182	5.2727	0.2327
202	effective method	0.1954	-0.4007	5	157	247	16	2021.875	17.6875	1.1671
203	efficient method	-0.0672	0.2978	5	76	121	10	2021.3	27.7	2.2851
204	efficientnet	-0.589	-0.1355	1	246	644	44	2022.6136	12.5	1.0193
205	electronic nose	1.2133	-0.4705	2	82	322	20	2018.55	14.15	0.5991
206	emergence	0.3007	0.762	3	147	348	21	2022.1429	9.0476	0.5659
207	energy	-0.1755	-0.0762	3	134	221	17	2021.8235	8.4706	0.6703
208	ensemble	-0.7304	-0.3195	1	247	722	49	2022.2653	12.3469	1.3169
209	ensemble learning	-0.6328	-0.2291	1	80	154	13	2021.8462	4.3846	0.438
210	ensemble model	-0.904	-0.3378	1	153	383	29	2022.3103	11.8966	1.0981
211	entropy	-0.1913	-0.505	1	146	272	18	2021.2222	17.3333	1.4454
212	environmental condition	-0.1896	0.5776	3	156	431	25	2021.32	16.68	1.0543
213	environmental factor	-0.007	0.1022	2	140	282	22	2022.1364	7.9545	0.914
214	epoch	-0.547	-0.2065	1	201	454	33	2021.7576	15.0606	0.9188
215	error rate	-0.6504	-0.4353	1	90	174	15	2022.0667	4.4667	0.4789
216	esca	0.8164	0.1649	2	64	147	10	2020	27.5	0.8234
217	estimation	0.3845	0.1706	3	373	1564	86	2021.686	12.4884	1.3111
218	existence	-0.0244	0.5471	3	126	228	14	2021.2143	14.2857	0.7301
219	experimental analysis	-0.8389	-0.5893	1	123	190	14	2021.5	17.8571	0.6791
220	experimental finding	-0.9349	0.0643	1	158	275	18	2022.5	12.6667	0.7564
221	experimentation	-0.634	0.0874	1	130	197	14	2022.6429	12.9286	1.0793
222	expert knowledge	-0.3868	0.1393	1	138	195	13	2022.3846	19.2308	1.7995
223	f measure	-0.198	-0.4384	1	122	189	15	2022.0667	6.3333	0.5164
224	f score	-0.534	-0.4743	1	111	194	13	2021.9231	21.3846	1.3403
225	false positive	-0.3073	0.8958	5	73	181	12	2018.75	97	1.3051
226	farmers	0.019	0.0742	3	92	176	13	2021	16.2308	1.2964
227	farming	-0.2581	0.4794	3	287	745	53	2020.8491	21.1698	1.039
228	faster r cnn	-0.6044	0.4501	1	108	209	16	2021.125	61.1875	1.4098
229	faster rcnn	-0.7542	0.6079	1	113	244	15	2022.5333	13.8	1.1405
230	feasibility	0.3982	-0.1617	4	311	796	43	2021.3256	46.1163	1.136
231	feature extraction technique	-0.1548	-0.4679	3	86	203	19	2022.3684	13.2632	1.9885
232	feature fusion	-0.439	0.1213	1	141	338	23	2022.7391	12.8261	1.6245
233	feature map	-0.8246	0.2708	1	139	418	28	2021.2143	21.4643	1.1458
234	feature selection	0.1482	-0.5821	1	279	733	44	2021.9773	13.9091	1.2353
235	feature vector	0.1204	-0.4311	2	125	306	20	2019.65	29.05	0.737
236	fertilizer	0.311	0.5197	3	157	278	20	2021.7	14.65	0.8763
237	fhb	1.2809	-0.0386	4	71	379	15	2022.3333	16.6667	0.9272
238	field condition	0.6403	0.0439	2	280	906	51	2021.3922	21.7451	1.1135
239	field image	-0.444	0.3282	1	166	348	24	2021.625	34.7083	1.3611
240	filter	-0.237	-0.5761	1	245	601	45	2021.6889	12.7111	1.1362
241	financial loss	-0.2968	0.1877	5	182	343	22	2021.9091	23.9091	1.3389
242	fine tuning	-0.8623	-0.1997	1	190	490	26	2022.3846	8.0385	0.815
243	fire blight	0.8168	-1.0469	4	10	209	11	2020	2	0.0611
244	first stage	-0.7573	-0.2558	1	127	254	15	2022.4	8.8667	0.9454
245	first time	0.3505	0.6684	3	75	125	10	2022.1	3.4	0.5052
246	flower	0.6774	0.0074	4	125	448	28	2022.1071	5.9286	0.3086
247	foliar disease	0.4183	0.0049	2	182	379	22	2020.7273	17.4091	0.66
248	frame	-0.1947	0.385	1	132	299	20	2021.1	31.15	1.083
249	fungal disease	0.5513	-0.1728	2	281	766	43	2020.3023	26.0698	0.7301
250	fungi	0.3435	0.7377	3	244	764	42	2021.1667	5.5	0.8151
251	fungicide	0.9511	-0.2046	2	164	556	27	2020.7037	18.7778	0.6722
252	fungus	0.5122	-0.4476	2	221	500	32	2019.8438	18.4375	1.0246
253	further research	-0.0923	0.372	3	89	124	13	2022.3077	4	0.6583
254	fusarium	1.204	-0.5763	2	120	568	19	2019.2632	22.8421	0.6408
255	fusarium wilt	0.897	-0.6364	2	111	415	15	2021.6667	14.2667	0.45
256	future	-0.1027	0.5919	3	198	349	21	2021.5238	18.2381	0.9085
257	future research	-0.1777	0.8461	3	215	485	29	2022.3103	21.5517	1.3547
258	future trend	-0.0476	0.9891	3	84	160	10	2022	44.1	2.6595
259	gan	-0.6888	0.3408	1	139	322	25	2022.12	18.84	1.2587
260	gans	-0.5909	0.6238	1	89	422	26	2021.9615	16.6538	1.2171
261	generalization	-0.2566	0.4475	3	133	230	16	2022.75	6.5	1.2597
262	generative adversarial network	-0.647	0.3008	1	173	440	33	2022.303	22.5152	1.3928
263	genetic algorithm	0.3518	-0.5586	2	171	327	20	2020.5	18.55	0.8471
264	glcm	-0.2074	-0.6707	1	167	313	23	2022.087	6.1304	0.3708
265	globe	-0.5342	-0.1658	1	122	193	18	2021.2778	15.5	0.8336
266	good performance	0.2255	-0.0685	7	132	262	13	2021.6923	20.3846	1.0499
267	googlenet	-0.6177	-0.1378	1	233	577	36	2022.0556	14.75	1.0035
268	gradient	0.1666	-0.4061	4	191	425	26	2022.3846	10.2308	0.9217
269	grape leaf disease	-0.5961	0.0996	1	93	322	25	2021.16	27.4	1.2139
270	grape leafe	-0.3146	-0.2758	1	95	195	15	2022.2667	9.3333	1.6189
271	grape plant	-0.2929	-0.2369	1	68	147	10	2021.5	23.4	1.413
272	grapevine	0.8418	0.1187	2	146	411	24	2021.5833	15.9583	1.0232
273	gray level co occurrence matrix	-0.2306	-0.5848	1	149	242	18	2021.2778	4.2222	0.1235
274	gray mold	0.518	-1.0033	6	61	292	12	2021.0833	20.1667	0.9296
275	great potential	0.8012	-0.2579	2	167	304	17	2021.1176	29.5882	1.0227
276	great significance	0.0621	-0.2447	6	126	239	14	2021.7857	8.4286	0.5038
277	greenhouse	0.8159	0.1348	4	218	716	44	2019.9091	20.0227	0.5231
278	ground	0.7029	0.5253	3	186	466	22	2020.0455	29.1364	1.1023
279	group	0.6974	0.3034	7	333	1113	64	2021.5469	20.6562	1.1129
280	grower	0.5058	0.2341	5	233	553	30	2021.4333	20.4	0.9732
281	half	0.0897	-0.1693	4	147	305	15	2021.2	20.1333	0.8093
282	handcrafted feature	-0.4456	-0.0416	1	67	125	12	2021.4167	51.4167	2.0301
283	health status	0.5612	0.1684	2	205	417	25	2022.04	8.4	0.4778
284	healthy	-0.5898	-0.2548	1	119	192	15	2022.3333	13.6667	2.737
285	healthy plant	0.31	-0.2913	4	271	609	34	2021.3824	109.1765	1.8792
286	histogram	-0.099	-0.5824	1	180	426	30	2020.8667	14.0333	0.727
287	hlb	0.6	0.5965	5	83	357	25	2020.92	15.56	0.7446
288	hsi	1.3657	-0.0731	4	125	582	26	2022.3462	7.0385	0.4101
289	http	-0.2255	0.2914	3	205	391	31	2021.871	14.9032	0.9933
290	huanglongbing	0.4994	0.5758	5	97	206	14	2020.5714	20.4286	1.0142
291	huge amount	-0.1924	-0.0818	1	83	118	11	2020.5455	9.7273	0.2916
292	huge loss	-0.4732	-0.4858	1	108	159	15	2020.6667	20.8	1.0241
293	human being	0.2308	-0.1442	3	66	88	10	2019.8	17.6	0.8353
294	human error	-0.6077	-0.0605	1	113	168	10	2022.6	12.4	1.4553
295	human expert	0.1601	0.1534	3	100	146	13	2019.3846	26.0769	1.1351
296	human eye	-0.5493	-0.4077	1	70	92	10	2020.7	9.7	0.4741
297	human health	0.5318	0.1811	4	104	159	11	2020.9091	8.1818	1.5382
298	humidity	0.4865	-0.3648	4	158	410	25	2021.48	6.32	0.6451
299	hundred	0.5393	0.3914	4	114	224	12	2021	20.4167	0.8062
300	hybrid model	-0.6975	-0.04	1	176	548	42	2022	14.8571	0.9507
301	hyperparameter	-0.394	-0.3742	1	231	624	46	2021.9565	18.6087	1.0162
302	hyperspectral	1.5196	-0.2087	6	160	469	15	2021.1333	20.8	1.0523
303	hyperspectral camera	1.4247	-0.0282	2	111	275	12	2021.8333	11.0833	0.6116
304	hyperspectral data	1.3523	0.0266	2	185	534	27	2021.9259	11.2593	0.7479
305	hyperspectral image	1.1912	-0.5438	6	268	1205	47	2020.617	18.617	0.879
306	hyperspectral imaging	1.1826	-0.0516	2	346	1535	72	2021.2083	19.5833	0.9552
307	hyperspectral imaging technology	1.3704	-0.5185	6	108	259	12	2022.3333	7.6667	1.1027
308	hyperspectral sensor	1.0506	0.588	2	96	268	12	2020.9167	67.4167	1.998
309	i e	0.415	0.1922	4	145	226	14	2020.4286	19.8571	0.6372
310	idea	-0.1939	0.5911	3	114	211	19	2020.4737	25.5789	1.2766
311	identification accuracy	-0.2336	-0.248	1	189	407	22	2021.8182	14.8636	1.1474
312	iii	0.8416	0.3571	2	121	234	12	2020.5833	44.6667	2.5588
313	image acquisition	0.0428	-0.3435	2	156	280	21	2020.9048	16.9048	0.8306
314	image analysis	0.5292	0.3985	3	223	458	34	2020.7941	39.7059	1.6951
315	image augmentation	-0.6336	0.5744	1	84	175	11	2022.8182	21.5455	1.9288
316	image feature	0.3938	-0.8695	6	187	705	25	2021.32	8.72	1.0768
317	image processing method	0.1132	-0.2167	4	129	182	16	2020.375	12.3125	0.8513
318	imagenet	-0.9556	0.095	1	88	157	11	2021.3636	80.5455	2.6872
319	imagery	1.0244	0.0943	2	331	1779	79	2021.4557	16.5949	1.0611
320	imaging	0.8747	0.4103	4	279	1106	65	2020.6308	28.1846	0.8484
321	important crop	-0.2242	0.2847	1	103	160	10	2022.6	14.6	1.5482
322	important feature	-0.1997	-0.6628	1	104	176	13	2022.1538	13.2308	1.3882
323	inception	-0.9112	-0.0892	1	194	484	32	2022.3125	16.875	1.0576
324	inception v3	-1.203	-0.0743	1	145	421	26	2022.5	12.6154	1.1057
325	inceptionresnetv2	-1.1016	-0.2689	1	116	227	13	2022.5385	16.1538	1.7687
326	inceptionv3	-1.1115	-0.2621	1	276	806	53	2022.3396	15.4906	1.0538
327	indian economy	-0.4516	-0.4136	1	123	177	16	2020.9375	12.3125	0.4905
328	indonesia	-0.1099	0.157	4	92	178	15	2020.7333	6.4	0.2141
329	infected area	-0.1856	0.4638	5	107	168	11	2020.3636	22.4545	0.6524
330	infected leafe	0.5964	-0.472	2	183	403	24	2020.1667	20.3333	1.277
331	infected plant	0.9286	0.0718	2	234	604	29	2020.6552	23.8966	0.7327
332	infection	0.6368	-0.1425	4	578	4468	266	2021.3947	17.4211	0.982
333	information technology	0.0797	0.9004	3	90	187	12	2020.1667	13.5833	0.3076
334	inoculation	1.437	0.0316	4	198	868	38	2020.5526	23.7368	1.0729
335	input data	0.6464	-0.2614	2	113	192	11	2021.1818	35.1818	1.4786
336	insect pest	-0.689	0.5542	1	166	434	37	2021.6216	21.1892	1.547
